Time,Response
0.0,0.0
0.0,0.0
9.226755420461503,0.0
10.0,0.0
10.0,0.0
11.436805870600402,0.0
18.255588590518045,0.0
20.0,0.0
20.322546767336213,0.0
21.436805870600402,0.0
25.97517307130174,0.0
29.648156528707947,0.0
30.0,0.0
31.436805870600402,0.0
35.45577600406494,0.0
38.234651946898964,0.0
40.0,0.0
41.4368058706004,0.0
42.76002791081167,0.0
48.987417466789665,0.0
50.0,0.0
51.4368058706004,0.0
55.592060026191824,0.0
59.071850720962374,0.0
60.0,0.0
61.4368058706004,0.0
66.38850186499796,0.0
69.19597729918192,0.0
70.0,0.0
71.43680587060041,0.0
74.13225660556493,0.0
80.0,0.0
80.73307020032505,0.0
81.43680587060041,0.0
86.60326432176302,0.0
90.0,0.0
90.0968420268074,0.0
91.43680587060041,0.0
96.65710981742794,0.0
98.84438469107947,0.0
100.0,0.0
101.43680587060041,0.0
107.1298378277456,0.0
110.0,0.0
111.4226226675573,0.0
111.43680587060041,0.0
119.793207331962,0.0
120.0,0.0
121.43680587060041,0.0
121.99002060151783,0.0
129.52227671333313,0.0
130.0,0.0
131.1163407275677,0.0
131.9900206015178,0.0
138.520746425955,0.0
138.62675119893714,0.0
141.1163407275677,0.0
141.9900206015178,0.0
148.38008608934652,0.0
151.1163407275677,0.0
151.12137276835318,0.0
151.9900206015178,0.0
156.51501636592107,0.0
159.29987697251337,0.0
161.12137276835318,0.0
161.9900206015178,0.0
163.95584181098107,0.0
168.55458075746864,0.0
171.12137276835318,0.0
171.9900206015178,0.0
173.12699455591985,0.0
179.4505590090182,0.0
181.12137276835318,0.0
181.9900206015178,0.0
185.88708633282158,0.0
191.12137276835318,0.0
191.24875231876254,0.0
191.9900206015178,0.0
197.8225692667959,0.0
201.24875231876254,0.0
201.9900206015178,0.0
203.42301575079978,0.0
204.91570955993387,0.0
211.9900206015178,0.0
213.42301575079978,0.0
214.8161578005903,0.0
215.52953560946574,0.0
221.9900206015178,0.0
222.85524505822946,0.0
224.8161578005903,0.0
225.4756059770593,0.0
231.9900206015178,0.0
233.56269408531753,0.0
235.4756059770593,0.0
236.9321456987515,0.0
241.9900206015178,0.0
242.17745080660703,0.0
246.37948332269679,0.0
246.9321456987515,0.0
251.9900206015178,0.0
252.46079117501793,0.0
253.49260917147515,0.0
256.93214569875147,0.0
259.7144114580769,0.0
261.9900206015178,0.0
264.8974724387687,0.0
